area,quartos,banheiros,idade,distancia_centro,garagem,preco
65,2,1,20,12,1,193500
80,2,2,10,8,1,261000
95,3,2,5,6,2,337000
120,3,3,8,5,2,406800
150,4,3,3,4,2,490300
70,2,1,25,15,0,169000
90,3,2,18,10,1,281800
110,3,2,12,7,1,343200
140,4,3,6,3,2,473600
160,5,3,2,2,2,549200
55,1,1,30,18,0,116500
75,2,1,22,14,1,206700
85,2,2,15,9,1,257500
100,3,2,10,8,2,327000
130,4,3,5,4,2,441500
145,4,3,8,6,2,458200
170,5,4,1,2,2,589400
180,5,4,3,1,2,613700
60,2,1,28,16,0,149600
105,3,2,14,9,1,321500
125,4,2,7,5,2,414800
155,4,3,4,3,2,510900
135,3,3,9,6,2,420300
115,3,2,11,7,1,359600
98,3,2,13,10,1,302400
88,2,2,17,11,1,259800
72,2,1,21,13,1,201300
165,5,4,2,2,2,572800
175,5,4,1,1,2,603600
155,4,3,5,4,2,501200
